0	0	45	90	135	180	225	270	315	360
90	0	0	43	31	0	45	0	0	0
67.5	0	0	30	26	30	28	0	0	0
45	70	86	79	86	86	88	88	76	88
22.5	86	79	86	89	85	84	85	86	90
0	87	88	94	93	95	96	94	91	86
-22.5	81	90	92	94	94	94	95	95	74
-45	84	91	89	92	91	94	95	93	86
-67.5	36	69	52	30	39	29	58	0	0
-90	0	0	0	0	0	28	55	0	0
